City,Hotel_name,Hotel_url,Hotel_score,Hotel_description,Latitude,Longitude
Bormes les Mimosas,SELECT'soHOME - Appartement face à la mer avec piscine à Bormes-les-mimosas - CAPNAT-C04,https://www.booking.com/hotel/fr/select-sohome-appartement-face-a-la-mer-avec-piscine-a-bormes-les-mimosas-capnat.fr.html?aid=304142&label=gen173bo-10CAQoggJCGXNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXNIDVgDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4Aperu8YGwAIB0gIkN2UyMTA3YmQtYjBmYS00OGQ5LWFjNWEtYTEwNzJjYmI5MGMx2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=95ff738b22d0069f&srepoch=1758385560&from=searchresults,8.9,"L’hébergement SELECT'soHOME - Appartement face à la mer avec piscine à Bormes-les-mimosas - CAPNAT-C04 vous accueille à Bormes-les-Mimosas, à seulement 2,6 km de ce lieu d’intérêt : Grande Plage. Il offre une vue sur la mer et comprend une connexion Wi-Fi gratuite ainsi qu’un parking privé gratuit. Cet hébergement offre une vue sur la montagne et propose un balcon.

Cet appartement avec climatisation se compose de 2 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont à votre disposition.

Vous pourrez profiter d’une piscine extérieure ainsi que d’une terrasse sur place, et pratiquer la randonnée dans les environs.

Vous séjournerez à respectivement 31 km et 31 km de ces lieux d’intérêt : Chateau de Grimaud et Le Pont des Fées. L'aéroport le plus proche (Aéroport de Toulon - Hyères) est à 21 km.",43.143018,6.352273
Marseille,New Hotel Le Quai - Vieux Port,https://www.booking.com/hotel/fr/vieuxport.fr.html?aid=304142&label=gen173bo-10CAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIDVgDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4Apyru8YGwAIB0gIkY2FiMDM5ZTgtNGVlOS00MDYzLTllMjctNGQ3N2E4MGRiZDQy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2906738e72730719&srepoch=1758385566&from=searchresults,8.4,"Situé dans le centre de Marseille, le New Hotel Le Quai - Vieux Port donne sur le Vieux-Port et la rue commerçante La Canebière. Cet hôtel propose des chambres insonorisées dotées de la climatisation et d'une télévision par satellite. Vous bénéficierez gratuitement d’une connexion Wi-Fi.

Entièrement rénové en 2018 et 2019, le New Hotel est décoré dans un style colonial. Ses chambres disposent d'une salle de bains privative et d'un bureau. Vous profiterez aussi d’un plateau de courtoisie avec une bouilloire. Une bouteille d’eau vous sera offerte à l’arrivée.

Chaque matin, vous pourrez déguster un petit-déjeuner buffet dans la salle à manger ou dans votre chambre. Par ailleurs, le personnel polyglotte de la réception ouverte 24h/24 se fera un plaisir de vous renseigner sur la région.

Vous séjournerez à proximité de lieux d'intérêt célèbres tels que la basilique Notre-Dame-de-la-Garde, le centre culturel de la Vieille Charité, le musée MUCEM, le palais du Pharo et l'abbaye Saint-Victor.

La station de métro Vieux-Port - Hôtel de Ville se tient face à l’établissement, tandis que le tramway Belsunce-Alcazar est à 300 mètres. Le parc des expositions Chanot est accessible en 10 minutes en métro. Enfin, le quartier du Panier vous attend à seulement 10 minutes de marche.",43.29603121576907,5.374890714883804
Cassis,L'Âme Bleue,https://www.booking.com/hotel/fr/ame-bleue.fr.html?aid=304142&label=gen173bo-10CAQoggJCDXNlYXJjaF9jYXNzaXNIDVgDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AqKru8YGwAIB0gIkOWRiYTdhNTctMmE3OC00NTA0LTk1MTMtMzJjZTY0MzhkNjYy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=8fa57391c5d2035f&srepoch=1758385571&from=searchresults,9.5,"Proposant une terrasse et offrant une vue sur la ville, l’hébergement L'Âme Bleue se trouve à Cassis, à respectivement 400 mètres et 19 km de ces lieux d’intérêt : Plage de la Grande Mer et Orange Vélodrome. Cet hébergement en bord de mer met à votre disposition un balcon, un parking privé gratuit et une connexion Wi-Fi gratuite.

Cet appartement avec climatisation se compose de 2 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 2 salles de bains avec une douche et un sèche-cheveux. Des serviettes et du linge de lit moyennant des frais supplémentaires.

Vous séjournerez à respectivement 20 km et 20 km de ces lieux d’intérêt : Métro Rond-point du Prado et Palais des congrès et des expositions Marseille Chanot. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 45 km.",43.2151649,5.5363721
Aigues Mortes,Hotel L'Escale,https://www.booking.com/hotel/fr/l-39-escale-aigues-mortes.fr.html?aid=304142&label=gen173bo-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBmAICqAIBuAKkq7vGBsACAdICJDhkM2JhZGIwLTJjM2UtNGZkOC1hMDY0LWNjMTA3N2ZlZGM3MNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=67977392c5780c50&srepoch=1758385573&from=searchresults,8.3,"L’établissement Hotel L'Escale se situe à Aigues-Mortes, à respectivement 22 km et 23 km de ces lieux d’intérêt : Parc des expositions de Montpellier et Salle de concert Arena Montpellier. Il met à votre disposition une connexion Wi-Fi gratuite dans l’ensemble de ses locaux, un restaurant et un bar. Il possède des chambres familiales et une terrasse bien exposée. Cet hôtel vous accueille à respectivement 27 km et 28 km de : Zénith Sud Montpellier et Centre commercial régional Odysseum.

Vous séjournerez à respectivement 31 km et 31 km de ces lieux d’intérêt : Hôtel de ville de Montpellier et Le Corum. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",43.56879591496389,4.1880866853236975
Gorges du Verdon,Bnb Castellane Chambre d'Hotes B&B,https://www.booking.com/hotel/fr/bnb-castellane-castellane.fr.html?aid=304142&label=gen173bo-10CAQoggJCF3NlYXJjaF9nb3JnZXMgZHUgdmVyZG9uSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBmAICqAIBuAKlq7vGBsACAdICJGIyMDJhN2U2LWU0YjAtNDc2Mi1hMjU0LTQ1NjcxNWZjZmVjNdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=d2b97392350e04d0&srepoch=1758385574&from=searchresults,8.4,"Situé à Castellane et offrant une vue sur la montagne, l’établissement Bnb Castellane Chambre d'Hotes B&B possède une piscine extérieure ouverte en saison, un jardin, un salon commun, une terrasse et un court de tennis. La connexion Wi-Fi et le parking privé sont tous deux accessibles gratuitement.

Vous trouverez une salle de bains privative avec une douche et des articles de toilette gratuits dans chaque logement, tout comme un sèche-cheveux.

L’établissement Bnb Castellane Chambre d'Hotes B&B sert un petit-déjeuner continental ou italien.

Vous pourrez jouer au ping-pong sur place, et pratiquer la randonnée et le ski dans les environs.

Vous séjournerez à 20 km de ce lieu d’intérêt : Golf du Château de Taulane. L'aéroport le plus proche (Aéroport de Nice-Côte d'Azur) est à 85 km.",43.853367,6.50948
Avignon,Garlande Hôtel Avignon Centre,https://www.booking.com/hotel/fr/de-garlande.fr.html?aid=304142&label=gen173bo-10CAQoggJCDnNlYXJjaF9hdmlnbm9uSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBmAICqAIBuAKoq7vGBsACAdICJDhkNTk4OTUzLWE3ZGYtNDNlNS1iZTU1LTcyODg3ZTBmYTMyZtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e5257394b957012e&srepoch=1758385577&from=searchresults,8.9,"Doté d’une connexion Wi-Fi gratuite, le Garlande Hôtel Avignon Centre propose des hébergements installés sur une rue piétonne d’Avignon, à 500 mètres du palais des papes et à 900 mètres du pont de la ville.

Toutes les chambres incluent une télévision à écran plat ainsi qu’une baignoire ou une douche. Certains hébergements sont pourvus d’un coin salon, où vous pourrez vous détendre.

Moyennant des frais supplémentaires, l’établissement sert un petit-déjeuner. Sur réservation 24 heures à l’avance, vous pourrez savourer un dîner du lundi au jeudi.

L’établissement se situe à 10 minutes à pied de la gare d'Avignon-Centre et à 20 minutes de route de l’aéroport d'Avignon-Provence.",43.94761833011378,4.806803539395332
Collioure,Fenêtre sur Collioure,https://www.booking.com/hotel/fr/fenetre-sur-collioure.fr.html?aid=304142&label=gen173bo-10CAQoggJCEHNlYXJjaF9jb2xsaW91cmVIDVgDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4Aqqru8YGwAIB0gIkODY5NjY5YTYtZGM2ZC00NjViLWIwOGQtOTUwMWNiNWI0OTEy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=334673959fac04e4&srepoch=1758385580&from=searchresults,9.2,"L’hébergement Fenêtre sur Collioure se situe à Collioure, à respectivement quelques pas et 80 mètres de ces lieux d’intérêt : Plage Boramar et Château Royal de Collioure. Il dispose de la climatisation. Offrant une vue sur la ville et sur la mer, cet appartement comporte également une connexion Wi-Fi gratuite.

Cet appartement compte 1 chambre, une cuisine avec un réfrigérateur et un lave-vaisselle, une télévision à écran plat, un coin salon, ainsi que 1 salle de bains comportant une douche. Des serviettes et du linge de lit sont à disposition.

Vous séjournerez à respectivement 33 km et 2,8 km de ces lieux d’intérêt : Stade Gilbert-Brutus et Casino de Collioure. L'aéroport le plus proche (Aéroport de Perpignan - Rivesaltes) est à 41 km.",42.527095830024564,3.0845235515379033
St Malo,L'ILE AUX MOUETTES - en plein Intra-Muros,https://www.booking.com/hotel/fr/ile-aux-mouettes-en-plein-intra-muros.fr.html?aid=304142&label=gen173bo-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBmAICqAIBuAKuq7vGBsACAdICJDdlMjFiODY4LWM3NWItNGRkZi1iNzcxLTEyM2JlOTgwM2UxNtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4cfa73975c5702c6&srepoch=1758385584&from=searchresults,9.1,"L’hébergement L'ILE AUX MOUETTES - en plein Intra-Muros affiche 3 étoiles et bénéficie d’un emplacement de choix dans le centre de Saint-Malo, à seulement 300 mètres de ce lieu d’intérêt : Plage de Bon Secours. Cet appartement met à votre disposition une connexion Wi-Fi gratuite et un balcon.

Cet appartement se compose de 2 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont mis à votre disposition.

Vous séjournerez à proximité de ces lieux d’intérêt : Plage du Môle, Plage de l'Éventail et Grand Bé.",48.64878588825201,-2.025716766270453
Biarritz,Résidence Pierre & Vacances Premium Haguna,https://www.booking.com/hotel/fr/residence-pierre-vacances-haguna.fr.html?aid=304142&label=gen173bo-10CAQoggJCD3NlYXJjaF9iaWFycml0ekgNWANoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAZgCAqgCAbgCsKu7xgbAAgHSAiQwZDVjOTA3Yi1lNzNlLTQ5YzQtYWI1MS05OTNlODQzOWZiYjPYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=38a47398ab5b0ef1&srepoch=1758385585&from=searchresults,8.4,"L’établissement Pierre & Vacances Premium Haguna se trouve dans le centre-ville de Biarritz, à seulement 300 mètres de la plage. Cette résidence indépendante propose de spacieux appartements indépendants. Moyennant des frais supplémentaires, vous pourrez accéder à un spa et centre de bien-être pourvu d’un sauna et d’un hammam.

Entièrement meublés, les studios et les appartements de la résidence Haguna disposent d’une télévision, d’une pièce à vivre et d’une salle de bains privative. Les cuisines équipées comprennent un lave-vaisselle, un réfrigérateur et un micro-ondes.

Vous pourrez opter pour la formule Confort, que vous devrez commander en ligne avant l’arrivée. Cette formule comprend les lits faits à l’arrivée, ainsi que le changement du linge de toilette et le ménage en milieu de séjour.

L’établissement Pierre & Vacances Premium Haguna constitue un point de départ idéal pour explorer la côte basque. Bayonne se trouve à seulement 10 minutes en voiture, tandis que Saint-Sébastien est accessible en 35 minutes de route. Des livres et des jeux de société sont mis gratuitement à votre disposition.

Vous pourrez commander des produits de boulangerie à la réception la veille. Ils vous seront servis sous forme de buffet. Vous trouverez la liste des produits de boulangerie dans votre hébergement et à la réception. Ce service entraînera des frais supplémentaires.

Cet établissement est détenteur du label Clef Verte.",43.4853453565997,-1.5525805950164795
Grenoble,ibis Grenoble Centre Bastille,https://www.booking.com/hotel/fr/ibis-grenoble-centre.fr.html?aid=304142&label=gen173bo-10CAQoggJCD3NlYXJjaF9ncmVub2JsZUgNWANoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAZgCAqgCAbgCsau7xgbAAgHSAiQwYmZkYWFmNi04MGU3LTQzMzMtOWQxZS0xYmFjZjE3ZDJmZGHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=8f4d7398aef30754&srepoch=1758385586&from_sustainable_property_sr=1&from=searchresults,7.7,"Situé dans le centre-ville de Grenoble, l'ibis Grenoble Centre Bastille propose une réception ouverte 24h/24 et un bar. Vous bénéficierez gratuitement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement. L'arrêt de tramway Victor Hugo se trouve juste devant l'hôtel et le téléphérique de la Bastille à 500 mètres.

Les chambres climatisées possèdent une télévision par câble à écran plat, une armoire, un bureau et un téléphone. Leur salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gracieusement à votre disposition.

Un petit-déjeuner buffet, composé d'aliments sucrés et salés parmi lesquels des œufs, de la salade de fruits, des yaourts et des jus de fruits, est servi chaque matin. Des viennoiseries préparées sur place et des madeleines fraîches sont disponibles, ainsi qu'une boisson chaude et un fruit à emporter. Un petit-déjeuner plus léger est disponible à partir de 4h00.

L'hôtel propose un parking privé sur place, une bagagerie, la presse quotidienne et un ascenseur. La place Victor Hugo se trouve à 100 mètres.",45.19052518222968,5.726412275146458
