Ville,Latitude,Longitude,Temperature Moy (°C),Humidite Moy (%),Vent Moy (m/s),Couverture nuageuse (%),Conditions Meteo
Mont Saint Michel,48.6359541,-1.51146,13.3,71.8,4.8,45.7,Le temps est partiellement nuageux.
St Malo,48.649518,-2.0260409,14.6,70.4,6.6,37.4,Le temps est partiellement nuageux.
Bayeux,49.2764624,-0.7024738,14.0,67.6,6.3,54.9,Le temps est partiellement nuageux.
Le Havre,49.4938975,0.1079732,14.7,67.6,7.1,41.6,Le temps est partiellement nuageux.
Rouen,49.4404591,1.0939658,13.7,65.2,4.9,63.6,Le temps est partiellement nuageux.
Paris,48.8588897,2.320041,14.8,60.8,3.6,93.3,Le temps est partiellement nuageux.
Amiens,49.8941708,2.2956951,13.8,61.1,5.1,84.4,Le temps est partiellement nuageux.
Lille,50.6365654,3.0635282,13.8,61.0,4.6,67.8,Le temps est partiellement nuageux.
Strasbourg,48.584614,7.7507127,12.8,86.2,3.8,91.2,Le temps sera majoritairement pluvieux ou nuageux.
Chateau du Haut Koenigsbourg,48.2494107,7.3443202,10.2,90.3,2.2,92.0,Le temps sera majoritairement pluvieux ou nuageux.
Colmar,48.0777517,7.3579641,12.8,90.1,2.5,92.4,Le temps sera majoritairement pluvieux ou nuageux.
Eguisheim,48.0447968,7.3079618,12.5,90.2,2.4,92.9,Le temps sera majoritairement pluvieux ou nuageux.
Besancon,47.2380222,6.0243622,12.9,88.5,2.3,92.9,Le temps sera majoritairement pluvieux ou nuageux.
Dijon,47.3215806,5.0414701,12.4,89.1,2.8,89.7,Le temps sera majoritairement pluvieux ou nuageux.
Annecy,45.8992348,6.1288847,13.9,90.3,1.2,90.8,Le temps sera majoritairement pluvieux ou nuageux.
Grenoble,45.1875602,5.7357819,15.4,87.6,1.4,88.8,Le temps sera majoritairement pluvieux ou nuageux.
Lyon,45.7578137,4.8320114,14.4,73.7,2.5,82.0,Le temps est partiellement nuageux.
Gorges du Verdon,43.7496562,6.3285616,13.9,69.5,2.1,36.1,Le temps est partiellement nuageux.
Bormes les Mimosas,43.1506968,6.3419285,19.1,63.3,4.0,27.6,Le temps est généralement beau avec quelques nuages.
Cassis,43.2140359,5.5396318,18.9,66.2,6.2,32.0,Le temps est généralement beau avec quelques nuages.
Marseille,43.2961743,5.3699525,19.5,65.0,6.4,33.6,Le temps est généralement beau avec quelques nuages.
Aix en Provence,43.5298424,5.4474738,18.8,60.2,3.3,39.8,Le temps est partiellement nuageux.
Avignon,43.9492493,4.8059012,17.5,66.6,5.6,43.9,Le temps est partiellement nuageux.
Uzes,44.0121279,4.4196718,16.7,68.7,3.6,55.0,Le temps est partiellement nuageux.
Nimes,43.8374249,4.3600687,17.8,63.8,3.4,52.7,Le temps est partiellement nuageux.
Aigues Mortes,43.5661521,4.19154,18.2,67.4,4.2,52.4,Le temps est partiellement nuageux.
Saintes Maries de la mer,43.4515922,4.4277202,18.3,70.2,5.1,46.7,Le temps est partiellement nuageux.
Collioure,42.52505,3.0831554,17.7,68.2,5.4,63.6,Le temps est partiellement nuageux.
Carcassonne,43.2130358,2.3491069,15.1,77.2,5.5,78.6,Le temps est partiellement nuageux.
Ariege,42.9455368,1.4065544,9.3,86.1,1.4,88.8,Le temps est partiellement nuageux.
Toulouse,43.6044622,1.4442469,14.4,75.7,4.1,79.5,Le temps est partiellement nuageux.
Montauban,44.0175835,1.3549991,13.9,79.5,3.5,83.8,Le temps est partiellement nuageux.
Biarritz,43.4832523,-1.5592776,15.4,76.2,4.4,65.8,Le temps est partiellement nuageux.
Bayonne,43.4945144,-1.4736657,14.6,79.1,3.6,66.7,Le temps sera majoritairement pluvieux ou nuageux.
La Rochelle,46.159732,-1.1515951,15.5,70.6,5.3,57.5,Le temps est partiellement nuageux.
